Título;Autores;Data de publicação;Editora
Cravo;Maria Velho Da Costa;;
Crime e Castigo   Volume 2;Fedor Dostoiévski;;
Crime e Castigo  Volume 1;Fedor Dostoiévski;;
Cristianismo;Huston Smith;;
Cristãos Novos e Cristãos Velhos em Portugal;A. N. Ribeiro Sanches;;
Cro?nica da casa ardida;Anto?nio Manuel Pires Cabral;1992;Editorial Noti?cias
Cruzadexas;Sem Autor;;
Crónica de uma morte anunciada;GABRIEL GARCIA MARQUEZ;;Publicacoes Dom Quixote
Crónica dos Bons Malandros;Mário Zambujal;;
Crónica Familiar;Vasco Pratolini;;
Cuba e o Bloqueio Norte-Americano;VARIOS AUTORES;;
Cultura;Dietrich Schwanitz;;
Cultura Educação Popular;Educação Popular;;
Cyber Sexo;Alicia Callotti;;
Cão como Nós;Manuel Alegre;01/01/2002;Publicacoes Dom Quixote
Cão Velho entre Flores;Baptista Bastos;;
Código Cooperativo;Instituto Antonio Sérgio;;
Código Cooperativo;Fotocópia;;
D. Afonso Henriques - Biografia;Diogo Freitas do Amaral;;Bertrand Editora
D. Camilo e o seu pequeno mundo;Giovanni Guareschi;;
D. Dinis    Cancioneiro;Vasco Graça Moura;;
D. João I;João Fernando Ramos;2013;A Esfera dos Livros
D. Miguel I;Grandes Portugueses;;
D. Quixote de La Mancha;Miguel De Cervantes;;
Da Natureza Dos Deuses;ANTONIO LOBO ANTUNES;01/10/2015;Publicacoes Dom Quixote
Da Resistência à Libertação;Sérgio Guimarães;;
Daisy Miller;Henry James;;
Dali;Robert Descharnes, Gilles Néret;;
De Amor e de Sombra;Isabel Allende;;
De profundis, valsa lenta;Jose? Cardoso Pires;;Brand: Publicacoes Dom Quixote
Decameron;Boccacio;;
Dei-te o Melhor de Mim;Nicholas Sparks;;Editorial Presenca
Depois da Tempestade;Condessa De Segur;;
Deriva;Urbano Tavares Rodrigues;;
Descubra a Cabra Secreta que há em Si;Elizabeth Hilts;;
Deseja-se Mulher;José Almada Negreiros;;
Desenhos de Almada;José Almada Negreiros;;
Devaneios Poéticos;Balófilo;;
Dezassete Instantes de uma Primavera;Iulian Semionov;;
Dias de Paixão;Sarah Pekkanen;01/01/2013;
Dias Felizes com Jamie Oliver;Jamie Oliver;;Livraria Civilização Editora
Dicionário da Mitologia Grega e Romana;Pierre Grimal;;
Dicionário de Sinónimos e Antónimos;Alpheu Tersariol;;Editora Lisa
Dicionário Enciclopédico KOOGAN LAROUSE   1 a 3 Volumes;Readers Digest;;
Dicionário Houaiss  Volume 1;Instituto Antonio Houaiss;;
Dicionário Mais da Ideia as Palavras;Readers Digest;;
Discoteca Ideal;Musica Clássica;;
Discoteca Ideal Música Clássica;Editora FNAC;;
Discursos;Vasco Gonçalves;;
Discursos de Fidel Castro;Documentos Prelo;;
Diário;Mario Sacramento;;
Diário da tua ausência;Margarida Rebelo Pinto;2006;
Diário de um Gajo Divorciado em Tempos de Crise;Antonio Costa Santos;;
Diário de uma Revolução;Orlando Neves;;
Diário XVI;Miguel Torga;;
Do Amor Admirável e da Vida Sórdida;Edição Lusco Fusco;;
Do Anarquismo;Nicolas Walter;;
Do Interior da Revolução;Vasco Lourenço;;
Doces Conventuais;VARIOS AUTORES;;
Documentos Fotográficos da Segunda Guerra Mundial;Readers Digest;;
Doidinho;José Lins Do Rego;;
Dom Casmurro;Machado De Assis;;
Dom Francisco de Almeida;Grandes Portugueses;;
Dom Gualdim Pais;Grandes Portugueses;;
Dom João de Castro;Grandes Portugueses;;
Domingo à Tarde;Fernando Namora;;
Dores;Maria Teresa Horta;;
Dos Presos Políticos Brasileiros;Edições Maria Da Fonte;;
Dossier PIDE;Repórter Sombra;;
Duas Cidades;Eugénio De Andrade;;
E Agora, José?;Jose? Cardoso Pires;;
E Agora, Zé Ninguém?;Hans Fallada;;Editora Dom Quixote
E Tudo o Vento Levou Volume 1;Margaret Mitchell;;
E Tudo o Vento Levou Volume 2;Margaret Mitchell;;
El Bucle Melancólico;Jon Juaristi;;
Eleições 75    O Programa do MFA e dos Partidos Políticos;Edições Acropole;;
Elementos para a Compreensão do 25 de Novembro;Duran Clemente;;
Ella Fitzgerald;Editions Nocturne;;
Eléctricos em S. Francisco;Eduardo Alarcão;;
Em Busca da Arca da Aliança;Graham Hancock;;
Emigrantes;Ferreira De Castro;;
Emílio Costa e o Sindicalismo;Antonio Ventura;;
Enciclopédia Diário de Notícias;Diário De Noticias;;
Enciclopédia Diário de Notícias;Diário De Noticias;;
Eneida;Virgilio;;
Energia Nuclear;Stephen Croall, Kaianders Sempler;;
Engrenagem;Soeiro Pereira Gomes;;
Ensaio Interpretativo e Crítico;Carlos Teiga;;
Ensaios;José Almada Negreiros;;
Ensaios Literários;VARIOS AUTORES;;
Entre o Céu e a Montanha;Will North;;
Entrevista com Luis Pacheco;Revista Ler;;
Ernest Hemingway;Prefácio, Miguel Sousa Tavares;;
Ernest Hemingway;Stewart Sanderson;;
Ernest Hemingway;Hans Peter Rondenberg;;
Erros Meus...Má Fortuna...Amor Ardente;Natália Correia;;
Escrita Maia;Grafias E Alfabetos;;
Escritos 1927-1930;Bento Gonçalves;;
Escultura e Tempo;João Fragoso;;
Escuta Zé Ninguém;Wilhelm Reich;;
Escutismo Católico;Nuno Ferrão;;
Espaço Livre;Anarca;;
Espontaneidade e Organização;Murray Bookchin;;
Esta Noite a Liberdade;Dominique Lapierre;;
Estamos no Vento;Fernando Namora;;
Estatuto Fiscal Cooperativo;Fotocópia;;
Este Livro que vos Deixo;Antonio Aleixo;;
Este País não é para Velhos;Cormac McCarthy;;
Este é o Canto;Eugénia Neto;;
Esteiros;Soeiro Pereira Gomes;;
Esteiros;Soeiro Pereira Gomes;;
Estórias Antigas;Aristides Van Dúnem;;
Estórias Antigas;Aristides Van Dúnem;;
Eu Cláudio;Robert Graves;;
